vessel_id,vessel_type,dwt,engine_power,vessel_age,draft,speed,distance_nm,heading,wind_speed,wind_direction,wave_height,wave_period,wave_direction,current_speed,current_direction,fuel_price,fuel_consumed_tpd,charter_rate_usd_day,candidate_id
V046,General Cargo,70071.3,7295.4,7,10.05,14.11,4405.9,287.5,11.91,326.2,5.8,13.16,137.6,2.23,95.8,616.49,61.58,13294.48,C0044
V018,Container,90878.2,22202.8,4,8.8,18.18,1063.7,96.2,0.23,310.9,5.66,7.59,214.0,1.43,320.5,576.53,128.31,20357.55,C0045
V039,Tanker,69269.1,19456.3,1,13.3,18.95,4741.8,88.0,16.78,242.7,5.22,12.01,25.1,0.15,352.5,619.74,137.56,22438.99,C0046
V005,Container,38636.8,6353.4,13,8.72,18.53,1107.5,81.8,0.55,77.3,3.1,5.03,92.1,1.83,177.9,742.3,123.85,13533.38,C0047
V016,Bulk Carrier,21952.1,19156.7,20,9.64,16.74,3107.0,122.1,3.22,229.6,1.02,11.25,70.9,1.22,337.3,789.94,91.32,13111.75,C0048
V011,Bulk Carrier,89607.9,15870.8,22,11.42,11.37,1193.1,179.4,11.43,182.2,1.46,7.48,5.7,0.95,0.4,690.79,38.62,22110.31,C0049
V035,Container,21701.6,6634.5,7,10.34,12.77,2773.8,157.9,15.3,258.2,3.96,12.25,193.3,1.92,321.9,734.63,53.52,11269.92,C0050
V048,General Cargo,89976.1,14166.0,15,8.78,10.46,3451.5,78.6,9.78,299.9,2.65,5.5,202.0,1.31,112.0,659.85,28.6,14509.81,C0051
V011,Tanker,62315.0,14693.9,23,9.49,19.31,1032.1,47.0,20.37,267.4,1.05,13.88,138.2,0.28,112.1,687.45,137.1,18279.4,C0052
V042,General Cargo,95125.4,8315.5,14,12.36,16.61,2652.3,4.5,1.94,304.8,2.98,6.67,96.7,2.75,82.1,796.43,84.55,16766.16,C0053
V023,Ro-Ro,83902.7,23914.0,23,8.23,17.46,2398.4,55.4,5.06,23.0,0.3,7.88,234.7,2.34,114.1,631.53,118.44,20182.31,C0054
V034,Bulk Carrier,99834.7,21999.5,19,7.14,13.12,448.1,253.9,24.33,11.4,4.46,14.45,48.5,0.17,76.9,519.88,53.86,23409.32,C0055
V048,General Cargo,48056.9,18380.4,22,8.51,18.46,4109.7,87.7,4.97,93.1,0.63,10.36,186.7,1.58,326.1,787.1,112.6,12692.05,C0056
V017,Container,81375.1,14245.9,24,12.8,12.6,1744.8,168.7,22.39,324.2,3.85,8.02,276.5,0.25,323.6,737.92,50.06,17986.09,C0057
V010,Container,52154.5,13235.3,20,6.71,10.02,2915.5,212.9,1.91,296.5,4.8,14.45,59.1,2.51,36.8,619.49,33.71,15410.88,C0058
V018,Container,58390.0,18019.5,24,13.93,13.76,2622.4,319.3,14.26,245.8,0.97,7.62,271.2,1.84,51.4,794.72,59.61,14687.57,C0059
V044,Container,70200.4,15908.6,18,10.33,15.71,2615.0,320.0,6.21,252.3,3.21,5.04,273.9,0.52,310.3,603.66,81.23,15701.74,C0060
V008,Bulk Carrier,89894.2,6245.5,10,13.88,14.79,625.4,268.5,3.84,261.6,4.72,14.97,21.6,0.06,143.6,611.64,67.18,22083.61,C0061
V026,Container,98726.7,15250.1,9,13.51,18.62,2175.1,12.7,19.85,339.3,1.71,6.95,6.8,0.09,60.9,682.92,135.13,19761.99,C0062
V003,Ro-Ro,81461.9,21128.1,25,9.62,11.05,2316.6,207.0,32.49,299.6,1.14,13.36,350.6,1.52,183.8,582.3,39.8,19529.33,C0063
V024,Bulk Carrier,53421.3,14184.8,8,7.59,15.54,3694.8,283.2,1.92,224.4,2.15,5.82,69.6,2.2,150.0,709.57,74.41,18159.17,C0064
V003,Container,53708.6,6039.1,10,7.32,15.13,4216.1,6.2,14.75,239.7,3.42,12.04,296.0,0.36,78.9,545.86,71.93,15771.68,C0065
V038,Bulk Carrier,79006.6,20725.6,17,7.92,12.81,2770.4,197.9,24.76,76.9,3.54,9.77,202.3,0.66,259.5,532.41,49.59,20350.28,C0066
V002,Container,39102.2,9027.3,2,11.68,18.22,525.2,308.8,16.19,236.6,0.96,14.79,95.2,0.98,227.3,660.46,117.68,14056.17,C0067
V035,Ro-Ro,28837.9,10172.4,6,8.18,17.53,1260.6,170.7,28.23,152.9,2.85,10.08,46.8,0.65,35.9,666.65,118.04,13129.34,C0068
V017,Container,48369.8,8294.1,5,8.73,17.33,908.2,1.5,6.29,55.1,1.76,4.28,178.8,1.17,333.1,532.0,99.26,13431.13,C0069
V009,General Cargo,42979.1,11604.3,9,9.59,18.76,710.6,4.0,33.59,290.3,5.08,10.64,146.6,1.68,201.0,789.25,122.54,11456.33,C0070
V036,Tanker,43704.6,20135.0,5,13.31,17.23,1892.9,150.0,13.48,183.7,2.02,5.6,251.6,2.05,90.1,671.99,102.74,16917.89,C0071
V022,Container,38688.6,15387.7,18,7.52,12.32,1224.0,55.8,11.95,351.9,5.06,12.78,325.5,2.89,74.3,545.31,51.33,13596.77,C0072
V031,Container,23367.5,9097.6,20,6.04,17.06,1169.7,239.2,30.61,101.4,2.69,13.42,289.9,2.79,48.9,593.43,103.48,13182.42,C0073
V034,Ro-Ro,21429.9,22556.6,9,6.48,13.08,368.0,255.2,19.74,173.0,4.41,9.3,98.8,1.71,152.9,740.07,59.75,12189.94,C0074
V024,Tanker,99017.8,22591.6,17,13.24,12.42,186.6,64.0,18.08,161.3,3.16,12.62,316.4,2.2,48.8,656.97,53.32,22684.52,C0075
V009,Tanker,54221.9,22411.6,17,11.18,10.73,603.6,319.9,25.44,43.5,3.81,5.6,300.0,2.85,149.7,556.44,42.8,18419.58,C0076
V046,Tanker,50746.1,9775.9,12,8.18,17.44,943.8,159.1,20.29,153.4,2.49,9.41,334.5,0.25,53.6,530.85,104.83,18048.49,C0077
V043,Container,74371.8,14024.8,7,7.42,17.11,2211.8,51.4,5.69,103.5,4.66,8.33,165.1,0.02,236.5,629.23,104.29,17996.61,C0078
V002,Bulk Carrier,37460.3,24699.8,3,8.35,12.34,2601.5,275.1,23.6,57.7,2.67,10.72,276.7,0.09,282.7,601.22,45.41,15618.85,C0079
V021,Container,95996.9,20440.2,10,6.92,17.49,788.9,284.4,4.67,101.6,2.85,4.49,213.0,1.69,197.8,696.78,115.2,20715.91,C0080
V034,Ro-Ro,82907.6,5543.3,2,13.53,19.18,2181.4,230.1,28.21,84.0,3.2,12.27,111.8,2.29,244.8,777.57,142.88,20070.59,C0081
V027,Tanker,27152.9,6304.1,25,12.27,11.08,1774.6,307.2,34.64,264.3,5.02,4.87,358.0,1.1,337.8,574.32,42.57,15568.18,C0082
V037,Container,53406.5,14278.6,3,9.7,12.33,998.8,265.5,13.21,11.1,4.02,11.22,13.8,1.64,229.8,756.57,47.49,16290.19,C0083
V007,Container,90329.5,23184.4,16,12.92,17.5,133.5,317.6,15.57,222.3,2.23,4.2,58.4,1.55,131.1,776.14,114.14,17766.2,C0084
V022,Container,95578.6,15774.0,2,8.0,12.75,2388.4,156.2,1.63,273.8,4.09,13.15,321.3,0.28,161.8,770.6,52.99,17693.64,C0085
V004,Container,57392.1,14956.3,24,11.74,16.25,3459.7,269.1,0.48,173.1,3.93,5.92,21.8,0.96,309.8,785.62,93.53,14438.13,C0086
V014,Tanker,69072.9,7109.5,10,12.85,10.81,1208.8,359.9,32.25,335.4,5.6,9.67,319.3,0.06,47.1,752.63,41.53,22064.71,C0087
V034,Tanker,33362.7,18135.6,6,8.85,14.52,745.9,261.0,4.5,254.8,5.08,6.88,257.5,0.33,117.3,678.05,74.72,16517.5,C0088
V023,Ro-Ro,99293.5,21442.1,22,12.06,17.39,4446.5,41.1,15.6,269.3,3.96,11.95,13.2,2.44,207.8,622.95,127.07,19744.82,C0089
V044,Bulk Carrier,38533.7,12608.4,11,8.36,16.87,1447.6,186.6,28.54,70.9,2.18,7.53,154.6,2.49,243.5,647.51,90.99,15567.18,C0090
V042,Container,95418.5,20512.2,23,8.39,18.15,1195.7,211.4,31.13,279.8,4.72,11.97,271.6,2.41,274.9,761.78,127.73,18185.71,C0091
V025,Tanker,71971.7,24289.5,7,6.86,18.77,4299.8,62.7,18.18,299.6,3.54,7.13,209.9,2.18,114.6,590.42,131.11,22332.71,C0092
V001,Tanker,68618.9,9075.3,15,9.52,17.73,4103.8,346.6,19.78,130.1,5.91,12.28,336.9,2.38,52.5,547.78,116.01,20841.39,C0093
V048,Bulk Carrier,61015.1,15466.6,6,11.84,16.72,2296.9,63.2,23.44,76.8,1.64,4.34,312.4,2.01,343.7,542.25,90.57,17671.97,C0094
V015,Tanker,38453.6,10742.8,20,13.52,10.32,2497.3,63.9,33.65,138.6,0.66,7.12,119.8,2.01,27.5,748.1,27.34,16597.1,C0095
V032,Bulk Carrier,34122.2,20857.1,9,10.83,15.35,1167.0,329.5,21.09,266.3,0.61,9.48,30.5,2.0,34.5,728.45,71.09,15458.3,C0096
V014,Bulk Carrier,37638.9,16551.9,22,12.91,10.38,483.7,167.5,19.58,150.4,3.91,4.5,339.9,1.54,178.2,649.29,35.29,15035.52,C0097
V041,Bulk Carrier,34915.1,17691.6,20,12.58,18.08,2909.8,22.7,0.51,265.2,5.65,6.05,186.2,1.09,294.9,582.46,110.94,13905.42,C0098
V021,Container,82366.8,20958.3,12,7.39,13.21,581.9,215.3,2.83,40.9,0.21,14.28,26.8,2.19,278.8,703.28,52.82,16841.55,C0099
V047,Container,48010.0,12919.4,19,9.89,15.62,2301.4,216.7,20.2,290.2,4.41,14.75,294.0,0.9,337.6,511.53,85.66,16151.76,C0100
V007,Container,24627.4,23301.8,20,6.94,12.79,4708.4,23.2,32.77,91.2,4.01,12.14,312.7,1.63,51.0,670.47,57.72,13455.1,C0101
V036,Tanker,97528.2,15660.6,3,11.46,17.83,4768.9,350.1,30.33,89.6,4.45,6.77,230.2,1.3,135.3,619.53,112.89,25682.11,C0102
V021,Container,90702.9,8159.1,15,13.6,18.87,1272.7,195.9,34.39,212.5,2.26,6.87,161.1,0.83,101.6,793.36,135.78,18178.41,C0103
V050,Bulk Carrier,94220.2,18918.0,2,7.1,13.99,3158.2,201.5,18.47,25.2,4.96,11.1,238.4,2.92,309.9,652.27,66.69,23903.13,C0104
V040,General Cargo,99592.6,20865.2,21,11.87,18.63,2423.0,187.2,27.58,9.5,0.46,5.29,254.4,0.78,175.8,665.68,115.02,17124.9,C0105
V012,Container,33911.6,11335.2,2,11.06,12.67,4390.9,219.9,29.41,94.0,4.58,14.43,321.5,0.93,9.7,713.71,51.46,13950.62,C0106
V015,Bulk Carrier,51699.4,22143.6,22,10.67,15.35,1430.0,95.1,22.68,193.7,1.75,6.47,344.1,0.48,254.9,645.36,72.59,16878.04,C0107
V015,Tanker,80659.1,23122.9,3,9.12,18.59,118.1,103.4,11.86,326.7,2.97,15.0,185.2,2.47,139.9,567.37,129.16,21550.52,C0108
V017,Container,75681.6,10538.1,6,8.84,13.26,896.5,184.1,16.45,304.7,4.97,9.45,287.5,1.76,191.2,661.18,55.39,16145.82,C0109
V034,Container,32311.7,24670.4,15,6.36,19.54,1812.7,290.4,30.03,176.6,1.77,12.49,347.2,1.84,321.8,783.28,148.49,14273.7,C0110
V044,Container,85266.6,7814.2,10,7.74,11.22,1647.0,18.0,10.45,13.3,1.27,4.02,54.4,2.46,92.4,622.97,31.68,18361.89,C0111
V035,Container,37955.2,9040.3,9,6.12,10.18,3977.7,217.2,32.33,192.7,4.15,13.78,6.6,1.03,86.5,703.89,35.19,12956.45,C0112
V039,General Cargo,37905.4,8684.5,1,10.65,19.04,3434.7,290.4,8.04,253.7,3.29,6.97,312.8,0.58,94.7,793.41,123.84,10755.12,C0113
V038,Ro-Ro,62958.0,22879.8,16,6.85,10.69,1567.8,56.5,26.23,122.1,3.18,11.35,70.3,0.6,121.7,748.98,44.64,17578.42,C0114
V014,Tanker,67435.2,18085.9,6,12.98,19.92,2342.9,5.4,22.07,40.0,1.69,12.87,15.3,2.2,38.6,697.71,154.42,19567.37,C0115
V005,Ro-Ro,66406.9,8042.1,9,10.19,19.51,568.2,112.6,26.24,100.3,0.4,5.81,57.6,1.84,251.0,720.8,150.71,18932.53,C0116
V030,Ro-Ro,27318.9,13806.5,4,11.6,11.37,4500.9,211.7,15.31,277.8,2.58,8.87,138.3,0.62,74.7,780.94,41.45,14201.3,C0117
V004,Container,90196.9,17306.0,2,9.29,15.38,4683.6,49.8,32.64,126.4,0.82,9.43,78.9,0.44,333.4,787.93,78.58,19855.52,C0118
V015,Ro-Ro,41248.0,6669.3,4,10.48,11.85,4901.0,153.4,22.14,292.3,5.45,7.43,109.9,0.36,77.6,790.69,47.48,14785.19,C0119
V039,Bulk Carrier,30361.2,22648.3,1,13.54,14.28,4355.9,198.8,10.09,115.0,0.44,9.3,351.1,1.88,92.0,687.69,57.22,15013.79,C0120
V035,Ro-Ro,91099.8,21072.1,19,6.66,10.61,952.4,215.6,22.35,58.9,2.7,7.49,253.6,0.0,106.9,615.41,42.33,20647.28,C0121
V045,Ro-Ro,96452.1,15104.1,25,8.03,12.24,326.4,98.8,10.04,156.9,0.5,7.97,256.4,0.05,276.7,539.95,47.47,21502.26,C0122
V010,Container,88970.2,24342.5,10,12.24,13.63,2940.0,144.0,10.28,162.8,0.75,11.36,34.1,1.17,153.9,615.66,62.02,17326.92,C0123
V002,Container,84761.3,13355.2,21,6.79,14.39,4571.8,280.2,13.99,5.8,4.02,10.96,263.6,2.07,295.0,782.89,68.8,18163.93,C0124
V044,Container,72419.4,24682.2,15,6.61,19.77,969.0,338.8,29.84,42.1,3.95,6.55,266.2,2.09,282.5,766.94,161.03,15655.96,C0125
V024,Bulk Carrier,64068.6,18358.4,22,8.89,18.08,134.5,310.3,17.51,66.6,0.39,13.87,237.5,1.29,334.6,657.1,105.04,18425.4,C0126
V028,Ro-Ro,26958.9,17693.4,19,6.74,17.37,4046.9,203.1,23.76,40.9,0.21,13.49,82.2,2.07,272.4,661.1,107.49,13006.57,C0127
V022,Ro-Ro,52676.3,8319.1,16,10.68,15.37,476.3,147.7,13.72,122.9,0.66,9.6,152.3,1.56,18.7,592.68,82.06,15055.37,C0128
V044,Container,49815.1,22638.6,21,7.81,18.4,2127.2,119.9,9.23,347.3,4.63,8.77,304.7,2.93,301.4,636.35,135.52,13779.87,C0129
V032,Bulk Carrier,40780.3,13549.8,24,13.17,13.39,3426.5,45.0,33.41,183.3,3.59,8.15,241.3,0.49,337.7,714.33,52.58,16094.9,C0130
V031,Bulk Carrier,77873.6,8244.7,22,12.27,17.09,1260.3,38.4,21.13,225.9,0.42,11.78,263.8,1.8,357.7,620.73,91.28,18688.51,C0131
V019,Container,59670.1,5252.2,4,11.6,19.94,511.4,247.8,32.69,128.3,3.03,11.39,211.5,1.47,45.1,556.4,156.18,17312.98,C0132
V021,Container,26483.7,16195.1,2,10.94,13.15,3873.1,93.5,7.12,116.5,4.33,6.16,161.9,0.58,220.8,662.26,58.14,12829.68,C0133
V003,Container,37614.7,15548.0,25,12.91,16.74,3187.9,91.7,5.14,8.3,5.24,11.39,273.3,2.25,71.8,567.6,100.36,13321.48,C0134
V006,General Cargo,74660.7,19387.1,13,7.78,18.44,4943.6,359.4,29.95,180.1,5.62,6.78,24.5,0.83,94.5,792.29,119.47,14445.11,C0135
V032,Container,26090.5,22805.2,1,12.98,19.16,1787.1,67.7,23.83,174.1,2.1,4.2,242.3,1.15,268.4,617.1,140.21,11384.37,C0136
V002,Bulk Carrier,88096.6,6588.1,17,12.32,17.18,402.6,53.3,6.53,56.8,0.99,11.69,359.0,1.12,352.0,772.9,94.58,23101.77,C0137
V024,Tanker,59611.7,19629.9,13,11.99,12.84,3698.3,35.5,9.43,275.2,1.57,11.09,280.9,0.73,214.1,567.67,48.0,19867.5,C0138
V045,Bulk Carrier,58446.9,8748.2,4,10.49,13.26,2656.5,208.7,28.02,177.4,4.7,8.52,104.6,1.29,306.2,556.76,53.27,18819.97,C0139
V027,General Cargo,67392.6,22163.5,7,7.97,10.21,1144.7,226.0,15.89,122.0,5.83,9.78,100.0,1.42,3.2,685.07,35.95,12459.85,C0140
V009,General Cargo,85974.5,21381.3,17,9.39,17.61,3930.5,131.5,23.47,52.9,2.91,14.42,240.2,2.23,13.2,733.81,107.16,15069.58,C0141
V013,Container,47824.7,15815.9,9,12.35,10.43,1098.4,192.7,11.14,198.8,1.97,10.55,322.5,2.3,214.8,670.03,34.04,14739.8,C0142
V014,Bulk Carrier,74241.3,19204.9,4,6.25,18.65,1377.2,283.8,13.34,271.0,2.69,11.24,208.1,0.48,140.0,568.94,121.15,21312.34,C0143
V011,Container,65258.6,11287.0,19,12.26,11.19,553.4,294.5,34.67,101.5,1.97,4.7,189.9,1.78,320.3,511.37,34.75,16754.25,C0144
V014,Container,41362.3,14423.4,1,7.92,11.72,2057.2,344.8,8.67,78.8,1.69,5.83,57.7,2.69,108.7,685.49,40.46,14043.68,C0145
V016,Container,90290.4,21432.7,10,7.15,14.77,2152.8,296.7,17.73,187.9,3.64,7.31,257.6,0.33,155.5,539.31,78.38,18143.15,C0146
V010,Tanker,83794.1,14185.3,4,6.93,17.38,2621.4,203.3,29.55,55.9,0.29,9.93,252.8,1.42,190.0,602.95,100.91,22198.56,C0147
V020,Bulk Carrier,72676.1,12156.0,9,6.22,11.39,3573.9,64.7,8.37,240.0,1.71,12.54,348.1,2.25,98.3,702.74,31.02,19499.91,C0148
V016,Container,88046.5,14884.2,13,10.19,14.4,4539.9,35.9,14.53,217.9,4.04,7.53,108.1,1.83,327.1,529.41,69.31,18575.04,C0149
V034,Container,89383.5,21565.0,14,7.75,14.83,774.9,19.6,21.53,31.3,0.39,7.92,272.3,0.3,167.2,538.18,75.84,17126.96,C0150
V016,General Cargo,76669.0,11704.2,10,13.92,12.12,366.3,239.9,16.84,13.1,0.68,6.82,156.3,1.19,152.7,518.5,36.17,15287.46,C0151
V014,Container,86961.1,8475.2,6,10.6,11.16,190.8,290.7,16.08,223.3,1.9,6.8,201.1,1.52,305.9,798.82,30.21,20177.15,C0152
V028,Container,75797.7,19240.3,16,7.1,18.36,803.7,183.1,12.69,105.9,5.29,14.44,293.9,2.99,112.3,616.12,128.66,16310.69,C0153
V018,Bulk Carrier,74411.3,21519.6,6,11.51,15.02,3324.0,19.7,20.53,31.1,4.64,10.99,79.9,0.54,294.3,771.74,73.56,19827.56,C0154
V026,General Cargo,69488.9,7012.7,17,13.18,10.14,3664.6,192.8,21.85,273.4,0.33,5.71,123.4,2.95,44.0,588.08,23.74,12687.71,C0155
V038,Container,80217.3,9797.5,10,11.96,18.03,3953.9,336.9,22.87,113.1,3.11,11.94,278.4,1.13,65.8,725.96,119.32,18639.6,C0156
V007,Tanker,32688.4,7839.4,18,6.61,19.81,1294.2,215.1,2.46,165.5,1.79,11.94,205.4,0.6,342.3,565.72,149.42,15835.25,C0157
V045,Tanker,90469.7,11958.8,22,13.17,16.06,1598.9,291.4,22.09,85.3,3.96,11.33,33.3,1.24,303.3,649.5,88.22,24569.22,C0158
V034,Container,89747.5,14007.0,18,12.35,15.04,2467.4,288.1,33.36,225.8,4.39,5.48,154.9,1.84,139.6,747.38,76.01,19837.01,C0159
V047,Tanker,22339.8,19976.5,3,7.27,18.78,409.6,335.6,18.93,108.5,5.2,8.49,211.2,0.64,229.8,744.9,130.53,16081.26,C0160
V049,Bulk Carrier,86065.3,18023.0,20,6.41,19.53,3094.6,277.3,25.03,348.5,2.96,5.17,327.4,0.87,339.5,738.28,137.69,19289.53,C0161
V045,Tanker,30309.6,17418.6,21,10.46,17.55,4920.3,269.2,19.49,253.1,5.97,12.98,67.9,2.56,76.3,747.12,114.68,17614.29,C0162
V007,Tanker,46809.5,12047.5,25,7.25,14.45,1868.0,84.3,29.92,49.2,5.88,11.21,290.1,3.0,21.2,563.44,71.73,17342.55,C0163
V033,Bulk Carrier,79480.7,21829.0,15,12.68,15.92,3789.0,21.6,32.54,150.0,5.32,9.58,47.0,0.95,193.5,644.66,88.72,18320.31,C0164
V035,Container,32860.8,14425.7,15,8.87,17.01,2550.2,186.3,6.45,138.8,3.53,7.77,87.2,0.45,51.3,645.46,99.86,13410.67,C0165
V050,Ro-Ro,85437.4,24582.1,4,13.3,11.94,726.3,44.8,15.29,192.3,2.51,6.03,87.6,2.38,67.4,767.15,46.66,19193.2,C0166
V039,Container,86570.7,17682.8,9,10.53,14.47,2953.0,346.4,13.73,303.1,2.31,5.17,315.9,1.8,321.0,589.07,69.34,19887.2,C0167
