date,route,cargo_type,vessel_class,vessel_dwt,distance_nm,baltic_style_index,bunker_fuel_price_usd_ton,port_congestion_days,market_event,charter_rate_usd_per_day,freight_rate_usd_per_tonne
2022-01-17,"Ponta da Madeira, Brazil - Haldia",Iron Ore,Panamax,71790,9206.8,1457.6,635.7,2.0,None,1412.0,45.01
2022-01-17,"Ponta da Madeira, Brazil - Kolkata",Iron Ore,Panamax,70108,9207.4,1457.6,653.1,1.9,None,1513.0,47.93
2022-01-17,"Ponta da Madeira, Brazil - Paradip",Iron Ore,Panamax,81517,9142.2,1457.6,672.7,1.0,None,1520.0,52.16
2022-01-17,"Richards Bay, South Africa - Haldia",Coking Coal,Supramax,51499,5255.1,1143.7,638.9,0.9,None,1074.0,26.24
2022-01-17,"Saldanha Bay, South Africa - Kolkata",Iron Ore,Capesize,170328,6171.5,1964.5,674.2,1.0,None,2038.0,34.01
2022-01-17,"Samarinda, Indonesia - Gangavaram",Thermal Coal,Handysize,36208,2689.0,1075.6,653.5,2.1,None,1061.0,15.56
2022-01-17,"Samarinda, Indonesia - Visakhapatnam",Thermal Coal,Handysize,31009,2685.9,1075.6,664.2,1.0,None,980.0,14.8
2022-01-17,"Taboneo, Indonesia - Kolkata",Thermal Coal,Panamax,85207,2594.2,1457.6,643.2,1.7,None,1503.0,13.18
2022-01-17,"Taboneo, Indonesia - Visakhapatnam",Thermal Coal,Panamax,73273,2652.9,1457.6,655.6,1.4,None,1545.0,12.74
2022-01-17,"Vancouver, Canada - Haldia",Coking Coal,Supramax,53523,7337.7,1143.7,666.6,0.9,None,1066.0,37.54
2022-01-17,"Vancouver, Canada - Kolkata",Coking Coal,Supramax,50390,7293.3,1143.7,644.4,2.2,None,1280.0,39.71
2022-01-24,"Abbot Point, Australia - Gangavaram",Coal,Handysize,31385,5235.8,1036.5,618.9,1.4,None,927.0,28.18
2022-01-24,"Dampier, Australia - Visakhapatnam",Iron Ore,Panamax,69292,3570.3,1362.5,636.0,3.5,None,1413.0,16.94
2022-01-24,"Durban, South Africa - Paradip",Coal,Handysize,37001,5193.0,1036.5,612.4,2.6,None,1003.0,25.83
2022-01-24,"Nacala, Mozambique - Haldia",Coking Coal,Handysize,31585,4191.3,1036.5,608.0,3.9,None,1184.0,22.46
2022-01-24,"Newcastle, Australia - Ennore",Thermal Coal,Handysize,35030,5823.9,1036.5,657.7,2.7,None,1067.0,32.27
2022-01-24,"Norfolk, USA - Haldia",Coking Coal,Supramax,50377,8458.2,1185.5,614.7,3.2,None,1256.0,47.41
2022-01-24,"Ponta da Madeira, Brazil - Paradip",Iron Ore,Panamax,81355,9142.2,1362.5,659.0,1.7,None,1290.0,48.58
2022-01-24,"Richards Bay, South Africa - Paradip",Coking Coal,Supramax,59226,5101.3,1185.5,629.6,0.8,None,1283.0,26.7
2022-01-24,"Saldanha Bay, South Africa - Ennore",Iron Ore,Panamax,87709,5338.7,1362.5,637.4,3.0,None,1307.0,29.53
2022-01-24,"Taboneo, Indonesia - Haldia",Thermal Coal,Supramax,60152,2575.7,1185.5,636.2,1.9,None,1190.0,13.16
2022-01-24,"Tubarao, Brazil - Visakhapatnam",Iron Ore,Panamax,88912,8981.5,1362.5,651.6,0.4,None,1261.0,48.4
2022-01-24,"Vale do Rio Doce, Brazil - Ennore",Iron Ore,Panamax,81586,8858.1,1362.5,617.5,0.0,None,1361.0,46.33
2022-01-24,"Vale do Rio Doce, Brazil - Gangavaram",Iron Ore,Capesize,180181,9121.7,1975.5,636.6,1.4,None,1886.0,50.98
2022-01-24,"Vancouver, Canada - Paradip",Coking Coal,Panamax,84287,7484.8,1362.5,660.2,0.0,None,1399.0,36.01
2022-01-31,"Abbot Point, Australia - Ennore",Coal,Handysize,32391,5277.3,1061.1,617.9,3.7,None,1122.0,29.72
2022-01-31,"Abbot Point, Australia - Haldia",Coal,Handysize,33426,5103.7,1061.1,630.4,1.9,None,965.0,27.68
2022-01-31,"Durban, South Africa - Ennore",Coal,Handysize,39057,4543.3,1061.1,642.7,1.1,None,1048.0,26.25
2022-01-31,"Durban, South Africa - Paradip",Coal,Panamax,67300,5193.0,1344.1,634.5,4.7,None,1302.0,27.07
2022-01-31,"Durban, South Africa - Visakhapatnam",Coal,Handysize,33200,4905.5,1061.1,642.2,0.4,None,1045.0,28.58
2022-01-31,"Gladstone, Australia - Ennore",Coal,Panamax,77177,5565.0,1344.1,622.9,0.8,None,1416.0,28.16
2022-01-31,"Gladstone, Australia - Gangavaram",Coal,Supramax,49102,5539.5,998.7,621.7,2.8,None,1011.0,28.17
2022-01-31,"Gladstone, Australia - Kolkata",Coal,Supramax,55695,5435.4,998.7,640.2,3.8,None,975.0,26.39
2022-01-31,"Nacala, Mozambique - Ennore",Coking Coal,Supramax,55098,3410.6,998.7,613.4,1.2,None,1033.0,15.18
2022-01-31,"Ponta da Madeira, Brazil - Ennore",Iron Ore,Capesize,190185,8806.3,2031.1,628.9,0.0,None,1899.0,40.45
2022-01-31,"Richards Bay, South Africa - Kolkata",Coking Coal,Handysize,30694,5292.9,1061.1,627.7,0.8,None,1105.0,29.83
2022-01-31,"Tubarao, Brazil - Haldia",Iron Ore,Panamax,80160,9350.8,1344.1,646.8,1.7,None,1251.0,44.1
2022-01-31,"Vancouver, Canada - Gangavaram",Coking Coal,Panamax,89689,7739.2,1344.1,628.3,2.8,None,1325.0,36.56
2022-02-07,"Abbot Point, Australia - Paradip",Coal,Handysize,31923,5127.9,990.9,650.3,1.6,None,854.0,26.6
2022-02-07,"Durban, South Africa - Ennore",Coal,Supramax,59004,4543.3,964.2,646.3,2.3,None,981.0,22.2
2022-02-07,"Gladstone, Australia - Paradip",Coal,Panamax,75847,5442.2,1408.2,641.1,0.8,None,1487.0,28.01
2022-02-07,"Norfolk, USA - Ennore",Coking Coal,Panamax,65987,8874.7,1408.2,638.8,2.9,None,1393.0,52.48
2022-02-07,"Ponta da Madeira, Brazil - Visakhapatnam",Iron Ore,Capesize,163476,8964.6,1941.5,659.1,2.1,None,1973.0,42.91
2022-02-07,"Richards Bay, South Africa - Paradip",Coking Coal,Panamax,89143,5101.3,1408.2,638.8,1.9,None,1410.0,26.53
2022-02-07,"Tubarao, Brazil - Ennore",Iron Ore,Panamax,88593,8706.6,1408.2,662.1,2.8,None,1148.0,47.29
2022-02-07,"Vale do Rio Doce, Brazil - Visakhapatnam",Iron Ore,Panamax,80480,9129.7,1408.2,645.3,2.6,None,1417.0,45.25
2022-02-07,"Vancouver, Canada - Paradip",Coking Coal,Panamax,87909,7484.8,1408.2,673.8,3.1,None,1427.0,40.9
2022-02-07,"Vancouver, Canada - Visakhapatnam",Coking Coal,Panamax,71239,7730.4,1408.2,643.9,0.0,None,1314.0,42.09
2022-02-14,"Dampier, Australia - Ennore",Iron Ore,Capesize,192785,3491.8,1949.5,651.8,0.0,None,1801.0,19.02
2022-02-14,"Nacala, Mozambique - Haldia",Coking Coal,Handysize,28038,4191.3,1074.9,636.8,4.7,None,992.0,20.31
2022-02-14,"Nacala, Mozambique - Visakhapatnam",Coking Coal,Supramax,60253,3755.5,880.4,608.1,1.9,None,912.0,15.76
2022-02-14,"Newcastle, Australia - Kolkata",Thermal Coal,Supramax,60587,5812.9,880.4,613.0,1.4,None,917.0,27.12
2022-02-14,"Norfolk, USA - Ennore",Coking Coal,Supramax,56859,8874.7,880.4,634.3,0.0,None,785.0,38.95
2022-02-14,"Norfolk, USA - Visakhapatnam",Coking Coal,Panamax,82588,8657.5,1390.0,637.6,0.7,None,1264.0,48.56
2022-02-14,"Saldanha Bay, South Africa - Gangavaram",Iron Ore,Capesize,166873,5685.5,1949.5,636.1,0.8,None,1911.0,29.8
2022-02-14,"Saldanha Bay, South Africa - Haldia",Iron Ore,Panamax,83152,6135.1,1390.0,616.7,1.9,None,1394.0,28.95
2022-02-14,"Saldanha Bay, South Africa - Kolkata",Iron Ore,Capesize,203547,6171.5,1949.5,637.3,1.1,None,1897.0,32.9
2022-02-14,"Samarinda, Indonesia - Ennore",Thermal Coal,Supramax,60374,2762.6,880.4,614.3,2.3,None,1022.0,11.56
2022-02-14,"Samarinda, Indonesia - Visakhapatnam",Thermal Coal,Handysize,37414,2685.9,1074.9,612.6,2.6,None,1097.0,14.29
2022-02-14,"Taboneo, Indonesia - Ennore",Thermal Coal,Handysize,36579,2689.7,1074.9,642.3,1.7,None,1165.0,15.43
2022-02-14,"Taboneo, Indonesia - Gangavaram",Thermal Coal,Supramax,55801,2655.0,880.4,650.2,2.7,None,947.0,11.88
2022-02-14,"Taboneo, Indonesia - Kolkata",Thermal Coal,Supramax,49001,2594.2,880.4,630.7,4.0,None,955.0,11.59
2022-02-21,"Dampier, Australia - Kolkata",Iron Ore,Panamax,89431,3635.9,1442.0,626.2,1.6,None,1450.0,18.47
2022-02-21,"Dampier, Australia - Visakhapatnam",Iron Ore,Panamax,85280,3570.3,1442.0,616.0,3.4,None,1234.0,16.96
2022-02-21,"Durban, South Africa - Visakhapatnam",Coal,Panamax,67395,4905.5,1442.0,618.9,2.2,None,1479.0,24.63
2022-02-21,"Nacala, Mozambique - Paradip",Coking Coal,Handysize,34259,4041.9,1064.1,616.8,4.7,None,1033.0,20.78
2022-02-21,"Newcastle, Australia - Ennore",Thermal Coal,Supramax,61808,5823.9,916.6,623.3,0.9,None,1040.0,27.72
2022-02-21,"Newcastle, Australia - Haldia",Thermal Coal,Handysize,34111,5795.2,1064.1,636.1,3.1,None,1116.0,33.12
2022-02-21,"Ponta da Madeira, Brazil - Ennore",Iron Ore,Panamax,87314,8806.3,1442.0,636.8,0.6,None,1550.0,47.78
2022-02-21,"Ponta da Madeira, Brazil - Kolkata",Iron Ore,Panamax,89337,9207.4,1442.0,612.8,2.2,None,1348.0,54.19
2022-02-21,"Richards Bay, South Africa - Paradip",Coking Coal,Supramax,49559,5101.3,916.6,628.2,3.3,None,916.0,23.58
2022-02-21,"Tubarao, Brazil - Haldia",Iron Ore,Capesize,197524,9350.8,1956.9,624.1,0.8,None,2009.0,51.7
2022-02-21,"Vale do Rio Doce, Brazil - Ennore",Iron Ore,Capesize,173482,8858.1,1956.9,635.0,0.0,None,2077.0,45.34
2022-02-21,"Vancouver, Canada - Paradip",Coking Coal,Panamax,69550,7484.8,1442.0,644.5,0.0,None,1303.0,37.38
2022-02-21,"Vancouver, Canada - Visakhapatnam",Coking Coal,Supramax,49216,7730.4,916.6,640.2,1.5,None,725.0,37.5
2022-02-28,"Dampier, Australia - Paradip",Iron Ore,Panamax,84327,3570.5,1398.2,652.0,5.3,Russia-Ukraine war disruption,1540.0,18.59
2022-02-28,"Durban, South Africa - Gangavaram",Coal,Handysize,28899,4895.8,1062.3,647.9,2.9,Russia-Ukraine war disruption,1189.0,28.34
2022-02-28,"Hay Point, Australia - Kolkata",Coking Coal,Panamax,75081,5235.2,1398.2,661.6,6.4,Russia-Ukraine war disruption,1810.0,31.9
2022-02-28,"Nacala, Mozambique - Ennore",Coking Coal,Handysize,30565,3410.6,1062.3,654.0,7.2,Russia-Ukraine war disruption,1204.0,20.2
2022-02-28,"Newcastle, Australia - Visakhapatnam",Thermal Coal,Handysize,28178,5849.9,1062.3,670.6,6.1,Russia-Ukraine war disruption,1373.0,37.27
2022-02-28,"Norfolk, USA - Ennore",Coking Coal,Supramax,48555,8874.7,879.6,688.1,6.5,Russia-Ukraine war disruption,1147.0,50.0
2022-02-28,"Ponta da Madeira, Brazil - Kolkata",Iron Ore,Panamax,82431,9207.4,1398.2,651.3,6.7,Russia-Ukraine war disruption,1887.0,52.63
2022-02-28,"Richards Bay, South Africa - Haldia",Coking Coal,Supramax,54206,5255.1,879.6,668.5,4.8,Russia-Ukraine war disruption,1117.0,26.96
2022-02-28,"Richards Bay, South Africa - Visakhapatnam",Coking Coal,Handysize,35907,4813.7,1062.3,638.6,4.3,Russia-Ukraine war disruption,1474.0,32.63
2022-02-28,"Samarinda, Indonesia - Gangavaram",Thermal Coal,Handysize,37011,2689.0,1062.3,633.7,4.3,Russia-Ukraine war disruption,1247.0,17.22
2022-02-28,"Samarinda, Indonesia - Haldia",Thermal Coal,Supramax,48054,2560.1,879.6,661.0,3.9,Russia-Ukraine war disruption,1124.0,13.65
2022-02-28,"Tubarao, Brazil - Paradip",Iron Ore,Capesize,202967,9234.1,1753.7,643.9,4.5,Russia-Ukraine war disruption,2153.0,53.41
2022-02-28,"Vale do Rio Doce, Brazil - Paradip",Iron Ore,Panamax,70962,9380.1,1398.2,664.2,4.4,Russia-Ukraine war disruption,1743.0,53.34
2022-02-28,"Vancouver, Canada - Visakhapatnam",Coking Coal,Panamax,69230,7730.4,1398.2,650.8,5.0,Russia-Ukraine war disruption,1666.0,42.65
2022-03-07,"Dampier, Australia - Paradip",Iron Ore,Capesize,190174,3570.5,1889.2,653.7,5.9,Russia-Ukraine war disruption,2523.0,19.11
2022-03-07,"Gladstone, Australia - Gangavaram",Coal,Supramax,50790,5539.5,817.1,650.3,4.1,Russia-Ukraine war disruption,923.0,25.93
2022-03-07,"Gladstone, Australia - Haldia",Coal,Supramax,58640,5423.2,817.1,652.0,2.6,Russia-Ukraine war disruption,1014.0,27.62
2022-03-07,"Newcastle, Australia - Visakhapatnam",Thermal Coal,Panamax,70027,5849.9,1353.9,640.3,5.7,Russia-Ukraine war disruption,1624.0,31.99
2022-03-07,"Norfolk, USA - Gangavaram",Coking Coal,Handysize,38574,8662.0,1130.8,658.1,4.6,Russia-Ukraine war disruption,1547.0,52.82
2022-03-07,"Norfolk, USA - Visakhapatnam",Coking Coal,Panamax,72473,8657.5,1353.9,674.9,5.2,Russia-Ukraine war disruption,1751.0,54.35
2022-03-07,"Richards Bay, South Africa - Ennore",Coking Coal,Handysize,33765,4452.0,1130.8,667.2,6.1,Russia-Ukraine war disruption,1440.0,31.69
2022-03-07,"Samarinda, Indonesia - Paradip",Thermal Coal,Handysize,33542,2577.8,1130.8,648.9,4.3,Russia-Ukraine war disruption,1440.0,15.91
2022-03-07,"Taboneo, Indonesia - Kolkata",Thermal Coal,Panamax,75127,2594.2,1353.9,665.0,2.3,Russia-Ukraine war disruption,1592.0,15.74
2022-03-07,"Taboneo, Indonesia - Paradip",Thermal Coal,Panamax,65932,2575.5,1353.9,646.2,3.4,Russia-Ukraine war disruption,1614.0,14.6
2022-03-07,"Tubarao, Brazil - Kolkata",Iron Ore,Capesize,167575,9369.5,1889.2,641.3,5.0,Russia-Ukraine war disruption,2044.0,46.63
2022-03-07,"Tubarao, Brazil - Paradip",Iron Ore,Panamax,66963,9234.1,1353.9,658.3,4.5,Russia-Ukraine war disruption,1710.0,56.06
2022-03-07,"Vale do Rio Doce, Brazil - Paradip",Iron Ore,Panamax,70798,9380.1,1353.9,657.9,5.2,Russia-Ukraine war disruption,1744.0,56.95
2022-03-07,"Vancouver, Canada - Haldia",Coking Coal,Panamax,78114,7337.7,1353.9,663.1,1.6,Russia-Ukraine war disruption,1600.0,42.08
2022-03-14,"Abbot Point, Australia - Haldia",Coal,Handysize,31140,5103.7,1123.5,662.8,3.0,Russia-Ukraine war disruption,1284.0,32.95
2022-03-14,"Dampier, Australia - Gangavaram",Iron Ore,Panamax,70831,3569.6,1367.8,628.7,7.1,Russia-Ukraine war disruption,1632.0,20.39
2022-03-14,"Durban, South Africa - Paradip",Coal,Handysize,29762,5193.0,1123.5,652.8,5.3,Russia-Ukraine war disruption,1457.0,35.8
2022-03-14,"Gladstone, Australia - Ennore",Coal,Supramax,52704,5565.0,809.8,662.5,5.5,Russia-Ukraine war disruption,921.0,27.36
2022-03-14,"Gladstone, Australia - Gangavaram",Coal,Supramax,56272,5539.5,809.8,653.5,4.5,Russia-Ukraine war disruption,962.0,27.8
2022-03-14,"Gladstone, Australia - Haldia",Coal,Supramax,60173,5423.2,809.8,661.1,3.8,Russia-Ukraine war disruption,988.0,28.11
2022-03-14,"Hay Point, Australia - Kolkata",Coking Coal,Handysize,29859,5235.2,1123.5,641.9,0.8,Russia-Ukraine war disruption,1461.0,32.45
2022-03-14,"Nacala, Mozambique - Kolkata",Coking Coal,Panamax,86205,4225.9,1367.8,651.0,4.1,Russia-Ukraine war disruption,1625.0,23.74
2022-03-14,"Samarinda, Indonesia - Gangavaram",Thermal Coal,Panamax,74996,2689.0,1367.8,649.8,2.9,Russia-Ukraine war disruption,1649.0,16.22
2022-03-14,"Taboneo, Indonesia - Gangavaram",Thermal Coal,Handysize,36012,2655.0,1123.5,658.3,6.0,Russia-Ukraine war disruption,1382.0,17.96
2022-03-14,"Vale do Rio Doce, Brazil - Visakhapatnam",Iron Ore,Capesize,178990,9129.7,1970.6,646.1,3.6,Russia-Ukraine war disruption,2284.0,53.84
2022-03-14,"Vancouver, Canada - Gangavaram",Coking Coal,Panamax,69723,7739.2,1367.8,644.9,5.6,Russia-Ukraine war disruption,1781.0,44.21
2022-03-21,"Dampier, Australia - Haldia",Iron Ore,Capesize,173040,3608.6,1902.4,649.4,4.7,Russia-Ukraine war disruption,2341.0,21.56
2022-03-21,"Dampier, Australia - Kolkata",Iron Ore,Panamax,76823,3635.9,1360.3,672.4,5.1,Russia-Ukraine war disruption,1494.0,22.1
2022-03-21,"Durban, South Africa - Ennore",Coal,Panamax,78049,4543.3,1360.3,646.3,4.7,Russia-Ukraine war disruption,1876.0,25.08
2022-03-21,"Durban, South Africa - Paradip",Coal,Handysize,32673,5193.0,1157.3,663.5,3.1,Russia-Ukraine war disruption,1570.0,33.14
2022-03-21,"Gladstone, Australia - Kolkata",Coal,Panamax,74511,5435.4,1360.3,679.3,1.9,Russia-Ukraine war disruption,1593.0,32.6
2022-03-21,"Hay Point, Australia - Paradip",Coking Coal,Panamax,71066,5246.5,1360.3,661.5,4.4,Russia-Ukraine war disruption,1690.0,31.16
2022-03-21,"Nacala, Mozambique - Ennore",Coking Coal,Supramax,58571,3410.6,724.8,674.5,5.3,Russia-Ukraine war disruption,872.0,16.52
2022-03-21,"Newcastle, Australia - Kolkata",Thermal Coal,Panamax,85752,5812.9,1360.3,653.6,4.7,Russia-Ukraine war disruption,1639.0,35.53
2022-03-21,"Norfolk, USA - Gangavaram",Coking Coal,Panamax,80035,8662.0,1360.3,685.7,5.0,Russia-Ukraine war disruption,1625.0,51.23
2022-03-21,"Norfolk, USA - Haldia",Coking Coal,Panamax,81088,8458.2,1360.3,648.9,5.1,Russia-Ukraine war disruption,1630.0,46.6
2022-03-21,"Norfolk, USA - Kolkata",Coking Coal,Supramax,51117,8420.2,724.8,652.3,4.2,Russia-Ukraine war disruption,950.0,43.71
2022-03-21,"Norfolk, USA - Paradip",Coking Coal,Panamax,69046,8548.6,1360.3,649.8,4.2,Russia-Ukraine war disruption,1612.0,49.45
2022-03-21,"Ponta da Madeira, Brazil - Gangavaram",Iron Ore,Panamax,75946,8959.2,1360.3,646.8,5.8,Russia-Ukraine war disruption,1827.0,58.01
2022-03-21,"Richards Bay, South Africa - Paradip",Coking Coal,Supramax,61731,5101.3,724.8,664.6,2.1,Russia-Ukraine war disruption,906.0,26.15
2022-03-21,"Saldanha Bay, South Africa - Visakhapatnam",Iron Ore,Panamax,78558,5695.2,1360.3,658.5,2.8,Russia-Ukraine war disruption,1697.0,31.81
2022-03-21,"Samarinda, Indonesia - Gangavaram",Thermal Coal,Supramax,57253,2689.0,724.8,669.7,3.0,Russia-Ukraine war disruption,858.0,12.44
2022-03-21,"Tubarao, Brazil - Haldia",Iron Ore,Capesize,181212,9350.8,1902.4,666.5,3.9,Russia-Ukraine war disruption,2383.0,54.28
2022-03-21,"Vale do Rio Doce, Brazil - Paradip",Iron Ore,Capesize,206649,9380.1,1902.4,671.4,2.6,Russia-Ukraine war disruption,2001.0,53.63
2022-03-21,"Vale do Rio Doce, Brazil - Visakhapatnam",Iron Ore,Panamax,78671,9129.7,1360.3,659.0,6.5,Russia-Ukraine war disruption,1567.0,56.09
2022-03-21,"Vancouver, Canada - Haldia",Coking Coal,Supramax,48547,7337.7,724.8,681.5,5.6,Russia-Ukraine war disruption,879.0,36.77
2022-03-21,"Vancouver, Canada - Kolkata",Coking Coal,Handysize,36065,7293.3,1157.3,640.9,6.5,Russia-Ukraine war disruption,1332.0,47.26
2022-03-28,"Dampier, Australia - Gangavaram",Iron Ore,Capesize,176689,3569.6,1890.7,657.1,3.8,Russia-Ukraine war disruption,1883.0,21.22
2022-03-28,"Durban, South Africa - Gangavaram",Coal,Handysize,34788,4895.8,1099.4,620.4,3.3,Russia-Ukraine war disruption,1279.0,27.84
2022-03-28,"Gladstone, Australia - Gangavaram",Coal,Supramax,52841,5539.5,744.1,648.0,4.3,Russia-Ukraine war disruption,975.0,25.07
2022-03-28,"Hay Point, Australia - Ennore",Coking Coal,Handysize,39289,5386.7,1099.4,648.7,5.3,Russia-Ukraine war disruption,1312.0,33.97
2022-03-28,"Newcastle, Australia - Gangavaram",Thermal Coal,Panamax,71608,5850.9,1423.8,648.8,5.2,Russia-Ukraine war disruption,1701.0,36.43
2022-03-28,"Norfolk, USA - Ennore",Coking Coal,Supramax,50382,8874.7,744.1,651.4,3.4,Russia-Ukraine war disruption,875.0,43.76
2022-03-28,"Ponta da Madeira, Brazil - Ennore",Iron Ore,Panamax,70363,8806.3,1423.8,659.5,3.5,Russia-Ukraine war disruption,1829.0,52.95
2022-03-28,"Richards Bay, South Africa - Ennore",Coking Coal,Panamax,66691,4452.0,1423.8,650.5,4.1,Russia-Ukraine war disruption,1911.0,25.77
